Sentiment,UserPreference,Genre_small,Popularity,ReadLength,Recommendation,__synthetic__
Neutral,CasualReader,Diary fiction,Very High,long,Yes,False
Neutral,CasualReader,Diary fiction,Very High,long,Yes,False
Neutral,CasualReader,Art,Very High,short,Yes,False
Positive,CasualReader,Photography,High,short,Yes,False
Neutral,CasualReader,"Body, Mind & Spirit",Very High,medium,Yes,False
Negative,CasualReader,Fiction,Very High,medium,Yes,False
Neutral,CasualReader,Religion,High,medium,No,False
Neutral,CasualReader,Biography & Autobiography,Very High,medium,Yes,False
Negative,CasualReader,"Persian Gulf War, 1991",Very High,long,Yes,False
Negative,CasualReader,"Persian Gulf War, 1991",Very High,long,Yes,False
Negative,CasualReader,Fiction,High,medium,Yes,False
Neutral,CasualReader,Fiction,Very High,long,Yes,False
Neutral,CasualReader,Comics & Graphic Novels,Very High,short,Yes,False
Neutral,CasualReader,Fiction,Very High,long,Yes,False
Neutral,CasualReader,Fiction,Very High,medium,Yes,False
Neutral,CasualReader,Fiction,Very High,medium,Yes,False
Neutral,CasualReader,Accidents,Very High,medium,Yes,False
Neutral,CasualReader,Accidents,Very High,medium,Yes,False
Negative,CasualReader,Galicia (Spain : Region),Very High,short,Yes,False
Neutral,CasualReader,Fiction,Very High,medium,Yes,False
Neutral,CasualReader,Fiction,High,medium,Yes,False
Negative,CasualReader,Fiction,Very High,medium,Yes,False
Neutral,CasualReader,Juvenile Nonfiction,High,short,Yes,False
Neutral,CasualReader,Biography & Autobiography,Very High,medium,Yes,False
Positive,AuthorLoyal,Boats and boating,High,medium,Yes,False
Positive,AuthorLoyal,Boats and boating,High,medium,Yes,False
Neutral,AuthorLoyal,Confianza en sí mismo,High,medium,Yes,False
Neutral,AuthorLoyal,Confianza en sí mismo,High,medium,Yes,False
Negative,AuthorLoyal,Religion,Very High,medium,Yes,False
Positive,AuthorLoyal,Short stories,Medium,medium,No,False
Neutral,AuthorLoyal,Fiction,Very High,short,Yes,False
Negative,AuthorLoyal,Juvenile Fiction,High,long,No,False
Positive,AuthorLoyal,Amish,Very High,long,Yes,False
Neutral,AuthorLoyal,Nature,Very High,short,Yes,False
Negative,CasualReader,"Authors, Cuban",Very High,medium,Yes,False
Negative,CasualReader,"Authors, Cuban",Very High,medium,Yes,False
Neutral,CasualReader,History,Very High,long,Yes,False
Neutral,CasualReader,Language Arts & Disciplines,Very High,medium,Yes,False
Neutral,CasualReader,Business & Economics,Very High,medium,Yes,False
Negative,CasualReader,Fiction,Very High,medium,Yes,False
Negative,CasualReader,Humor,Very High,short,Yes,False
Neutral,CasualReader,Dead,Very High,medium,Yes,False
Neutral,AuthorLoyal,Cancer,Very High,medium,Yes,False
Positive,AuthorLoyal,Cancer,Very High,medium,Yes,False
Positive,AuthorLoyal,Cancer,Very High,medium,Yes,False
Neutral,AuthorLoyal,Cancer,Very High,medium,Yes,False
Positive,AuthorLoyal,Science,Very High,medium,Yes,False
Positive,AuthorLoyal,Cookery,Very High,medium,Yes,False
Positive,AuthorLoyal,Americans,Very High,medium,Yes,False
Neutral,AuthorLoyal,Social Science,Very High,short,Yes,False
Neutral,AuthorLoyal,Fiction,Very High,medium,Yes,False
Neutral,AuthorLoyal,Fiction,Very High,medium,Yes,False
Negative,AuthorLoyal,Classical fiction,Very High,medium,Yes,False
Negative,AuthorLoyal,Classical fiction,Very High,medium,Yes,False
Negative,AuthorLoyal,Classical fiction,Very High,medium,Yes,False
Neutral,AuthorLoyal,Classical fiction,Very High,long,Yes,False
Neutral,AuthorLoyal,Classical fiction,Very High,long,Yes,False
Negative,AuthorLoyal,Classical fiction,Very High,medium,Yes,False
Neutral,AuthorLoyal,"Short stories, English",Very High,long,Yes,False
Neutral,AuthorLoyal,"Short stories, English",Very High,long,Yes,False
Positive,AuthorLoyal,Juvenile Fiction,High,short,No,False
Neutral,AuthorLoyal,Literary Criticism,Very High,long,Yes,False
Neutral,AuthorLoyal,Juvenile Fiction,Very High,medium,Yes,False
Neutral,AuthorLoyal,Literary Criticism,Very High,short,Yes,False
Negative,AuthorLoyal,Fiction,Very High,medium,Yes,False
Negative,AuthorLoyal,Fiction,Very High,long,Yes,False
Negative,AuthorLoyal,Belgians,Very High,medium,Yes,False
Neutral,AuthorLoyal,Belgians,Very High,medium,Yes,False
Neutral,AuthorLoyal,Sexual behavior surveys,High,long,Yes,False
Negative,AuthorLoyal,Belgians,Very High,medium,Yes,False
Neutral,AuthorLoyal,Sexual behavior surveys,High,long,Yes,False
Neutral,AuthorLoyal,Belgians,Very High,medium,Yes,False
Positive,AuthorLoyal,"Body, Mind & Spirit",High,short,No,False
Negative,AuthorLoyal,Fiction,Medium,medium,No,False
Negative,AuthorLoyal,Fiction,Very High,long,Yes,False
