isbn13,title,dl_score,genre,num_pages,popularity_bucket
9780374522599,The Control of Nature,1.0,Nature,288.0,Very High
9780060959036,Prodigal Summer,0.72087973,Fiction,444.0,Very High
9780689823824,A Child's Garden of Verses,0.6996633,Juvenile Fiction,67.0,Very High
9780786808373,Baby Einstein: Birds,0.6481423,Juvenile Fiction,20.0,Medium
9780064402453,Racso and the Rats of NIMH,0.6139237,Juvenile Fiction,288.0,Very High
9780786808069,Baby Einstein: Neighborhood Animals,0.6072716,Juvenile Fiction,16.0,Very High
9780786808380,Baby Einstein: Babies,0.53416,Juvenile Fiction,20.0,High
9780941807555,The Little Big Book for God's Children,0.50683457,Religion,352.0,Medium
9781421509594,The Drifting Classroom,0.43380278,Comics & Graphic Novels,192.0,Very High
9780553382617,The Shelters of Stone,0.4173314,Fiction,891.0,Very High
9780064403870,"R-T, Margaret, and the Rats of NIMH",0.41454303,Juvenile Fiction,272.0,Very High
9780064406925,Winter on the Farm,0.33717197,Juvenile Fiction,32.0,Very High
9780786808397,Baby Einstein: Dogs,0.3274214,Juvenile Fiction,20.0,High
9780060929596,As Nature Made Him,0.3223249,Medical,320.0,Very High
9780571207565,Collected Children's Stories,0.31927177,"Children's poetry, American",54.0,Very High
9780064404419,The Rainbow People,0.2972017,Juvenile Fiction,208.0,Very High
9780671631987,Teach Your Child to Read in 100 Easy Lessons,0.291483,Education,395.0,Very High
9780878937202,Essentials of Conservation Biology,0.2803518,Science,585.0,High
9780312315733,Little Children,0.262622,Fiction,355.0,Very High
9780141311401,Boy,0.2549911,"Authors, English",176.0,Very High
9788122200850,"Cry, the Peacock",0.24634217,Fiction,218.0,Very High
9780786812912,The Big Box,0.22709915,Juvenile Fiction,48.0,Very High
9780553585803,Forty Signs of Rain,0.21324304,Fiction,393.0,Very High
9780744578263,The Sea-thing Child,0.17576183,Birds,48.0,High
9780811205467,Turtle Island,0.16766804,Poetry,112.0,Very High
9781576839546,Parenting with Love and Logic,0.16599989,Family & Relationships,271.0,Very High
9780671646196,Wind Child,0.16239883,Fiction,331.0,Medium
9780440421702,Hoot,0.14599323,Bullying,292.0,Very High
9780618471164,"Since 1500, Chapters 15-30",0.13859855,Science,34.0,Medium
9780393315110,Uncommon Ground: Rethinking the Human Place in Nature,0.11667222,Law,560.0,Very High
9781590171240,An Episode of Sparrows,0.1076524,Juvenile Fiction,247.0,Very High
9780007105045,Tree and Leaf,0.10589448,Literary Collections,176.0,Very High
9780465016907,The Drama of the Gifted Child,0.09235194,Psychology,144.0,Very High
9780142403204,Firebirds,0.08934347,Juvenile Fiction,432.0,Very High
9781567921571,Things,0.08178766,Comics & Graphic Novels,221.0,Very High
9780786818723,Baby Einstein: Violet's House,0.07016355,Juvenile Fiction,10.0,High
9780786816156,Summerland,0.05646815,Juvenile Fiction,500.0,Very High
9780064434980,The Deer in the Wood,0.054783244,Juvenile Fiction,32.0,Very High
9780887511127,Teaching the World's Children,0.051529467,Education,101.0,Low
9780743272537,Virgin Earth,0.048104428,Fiction,661.0,Very High
9780141015088,How to Breathe Underwater,0.04569807,Families,222.0,Very High
9780786819119,"Baby Einstein: Water, Water Everywhere",0.03872389,Juvenile Fiction,10.0,High
9780345484109,Armageddon's Children,0.037975546,Fiction,404.0,Very High
9780571090242,Death of a Naturalist,0.033946127,Poetry,57.0,High
9781889032207,Teach Them Diligently,0.03341207,Religion,162.0,Very High
9780241003008,The Very Hungry Caterpillar,0.03236526,Babytime resource,26.0,Very High
9780689840333,Silver on the Tree,0.032153044,Juvenile Fiction,274.0,Very High
9780192862099,The Origins of Life,0.024673143,Science,192.0,High
9780064471961,Shade's Children (rack),0.022282917,Juvenile Fiction,345.0,Very High
9780881927696,A Book of Blue Flowers,0.0,Gardening,327.0,Low
