user_id,UserPreference
1,CasualReader
2,CasualReader
3,CasualReader
4,AuthorLoyal
5,CasualReader
6,AuthorLoyal
7,AuthorLoyal
8,AuthorLoyal
9,AuthorLoyal
10,CasualReader
11,AuthorLoyal
12,CasualReader
13,CasualReader
14,AuthorLoyal
15,AuthorLoyal
16,AuthorLoyal
17,DiverseReader
18,CasualReader
19,AuthorLoyal
20,CasualReader
21,DiverseReader
22,CasualReader
23,AuthorLoyal
24,CasualReader
25,AuthorLoyal
26,AuthorLoyal
27,DiverseReader
28,DiverseReader
29,CasualReader
30,AuthorLoyal
31,DiverseReader
32,GenreFan
33,CasualReader
34,DiverseReader
35,AuthorLoyal
36,GenreFan
37,AuthorLoyal
38,CasualReader
39,CasualReader
40,DiverseReader
41,GenreFan
42,DiverseReader
43,DiverseReader
44,CasualReader
45,AuthorLoyal
46,AuthorLoyal
47,AuthorLoyal
48,GenreFan
49,CasualReader
50,CasualReader
